 ,,,,,,,,,,,,,,,,,,,,,
Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Adjustment Count P2,Seed: 41,
1,1,0,1,20,0.6,0.4,TRUE,FALSE,11,3,0,0,-239,214,0,0,4.35E-80,4.35E-80,5,,
2,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-7503,7478,0,0,0,0,6,,
3,1,0,1,20,0.6,0.4,TRUE,FALSE,6,3,0,0,-814,789,0,0,1.33E-84,1.06E-84,5,,
4,0,0,1,20,1,0,TRUE,FALSE,10,4,5,0,-10420,10408,281000,0,3.99E-71,5.54E-51,9,,
5,0,0,1,20,0,1,FALSE,TRUE,11,10,0,0,2180,-2208,0,0,4.14E-105,3.68E-101,7,,
6,0,0,0,20,1,0,TRUE,FALSE,10,4,4,0,-5893,5257,265000,0,0,0,5,,
7,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,2998,-3023,0,0,9.09E-198,9.09E-198,7,,
8,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-4198,4173,0,0,0,0,6,,
9,0,0,2,20,1,0,TRUE,FALSE,11,4,0,0,-10354,10324,0,0,5.80E-74,5.80E-74,11,,
10,1,0,1,20,0.6,0.4,TRUE,FALSE,11,3,0,0,-188,163,0,0,1.78E-84,1.68E-84,5,,
11,1,0,1,20,0.75,0.25,TRUE,FALSE,6,4,0,0,-1206,1181,0,0,4.77E-97,2.24E-109,8,,
12,0,0,0,20,0,1,FALSE,TRUE,5,10,0,0,2925,-3576,0,0,0,0,5,,
13,1,0,1,20,0.75,0.25,TRUE,FALSE,11,9,0,0,-496,-163,0,0,4.02E-107,1.95E-114,8,,
14,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,2340,-2993,0,0,0,9.85E-285,4,,
15,1,0,1,20,0.4,0.6,TRUE,FALSE,11,9,2,0,1054,-1073,108000,0,1.28E-68,2.47E-46,13,,
16,1,0,1,20,0.15,0.85,TRUE,FALSE,11,9,0,0,1610,-1650,0,0,2.39E-93,4.16E-44,9,,
17,1,0,1,20,0.75,0.25,TRUE,FALSE,11,9,0,0,-643,618,0,0,2.54E-104,4.97E-117,8,,
18,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-9517,9495,0,0,3.94E-142,5.52E-73,8,,
19,1,0,0,20,0.7,0.3,TRUE,FALSE,11,9,0,0,-593,568,0,0,2.09E-128,1.32E-78,7,,
20,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-4844,4186,0,0,0,0,6,,
21,1,0,2,20,0.8,0.2,TRUE,FALSE,11,9,0,0,-315,286,0,0,2.10E-69,2.21E-79,11,,
22,0,0,0,20,1,0,TRUE,FALSE,11,10,0,0,-2662,2637,0,0,0,0,4,,
23,0,0,0,20,1,0,TRUE,FALSE,11,10,0,0,-2612,2587,0,0,0,0,4,,
24,1,0,1,20,0.7,0.3,TRUE,FALSE,6,3,0,0,-1268,1243,0,0,1.03E-117,5.20E-80,7,,
25,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-7158,7132,0,0,0,0,6,,
26,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-5154,5129,0,0,0,0,5,,
27,0,0,1,20,1,0,TRUE,FALSE,11,3,0,1,-1020,991,0,58000,1.39E-71,1.96E-76,5,,
28,1,0,1,20,0.8,0.2,TRUE,FALSE,11,3,0,0,-1135,1110,0,0,5.03E-84,1.20E-78,5,,
29,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,3125,-3151,0,0,9.35E-238,9.35E-238,5,,
30,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-3138,3113,0,0,0,0,6,,
31,0,0,0,20,0,1,FALSE,TRUE,6,10,0,0,5135,-5160,0,0,0,0,4,,
32,1,0,1,20,0.65,0.35,TRUE,FALSE,6,3,0,0,-1063,1038,0,0,3.57E-93,4.37E-56,5,,
33,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,2854,-3506,0,0,0,0,6,,
34,0,0,0,20,0,1,FALSE,TRUE,5,4,0,0,2020,-2053,0,0,2.84E-133,2.17E-142,6,,
35,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-2196,2171,0,0,0,0,5,,
36,0,0,0,20,0,1,FALSE,TRUE,6,10,0,0,8415,-8440,0,0,0,0,5,,
37,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-8909,8884,0,0,2.27E-207,2.27E-207,7,,
38,0,0,0,20,1,0,TRUE,FALSE,11,10,1,0,-2057,1392,39000,0,0,0,6,,
39,0,0,0,20,0,1,FALSE,TRUE,6,10,0,0,5059,-5084,0,0,0,0,5,,
40,0,0,0,20,1,0,TRUE,FALSE,11,10,0,0,-4844,4818,0,0,0,0,4,,
41,1,0,1,20,0.75,0.25,TRUE,FALSE,11,4,0,0,-553,528,0,0,1.20E-95,6.11E-101,8,,
42,0,0,1,20,1,0,TRUE,FALSE,10,9,1,0,-348,311,41000,0,4.07E-53,7.73E-60,5,,
43,0,1,1,20,0.9,0.1,FALSE,TRUE,0,10,0,0,-2792,2782,0,0,1.01E-102,1.01E-102,8,,
44,1,0,1,20,0.5,0.5,TRUE,FALSE,11,9,0,0,478,-1140,0,0,7.39E-75,3.20E-16,12,,
45,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,5246,-5272,0,0,0,0,5,,
46,0,0,0,20,0,1,FALSE,TRUE,6,10,0,0,7442,-7471,0,0,0,0,5,,
47,1,0,1,20,0.4,0.6,TRUE,FALSE,11,9,0,2,1217,-1241,0,116000,3.81E-108,8.04E-06,12,,
48,1,0,1,20,0.15,0.85,TRUE,FALSE,11,9,0,0,1651,-1690,0,0,2.99E-84,2.50E-31,10,,
49,0,0,0,20,1,0,TRUE,FALSE,11,10,0,0,-3749,3723,0,0,0,0,4,,
50,1,0,1,20,0.8,0.2,TRUE,FALSE,11,3,0,11,-1770,1745,0,752000,1.72E-122,6.05E-93,5,,
51,1,0,1,20,0.15,0.85,TRUE,FALSE,11,9,0,0,1610,-1650,0,0,2.39E-93,4.16E-44,9,,
52,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-9461,9439,0,0,7.62E-161,1.94E-91,7,,
53,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-2718,2693,0,0,0,0,5,,
54,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-5483,4837,0,0,0,0,5,,
55,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,4859,-4884,0,0,0,0,4,,
56,1,0,1,20,0.7,0.3,TRUE,FALSE,6,3,0,0,-1268,1243,0,0,1.03E-117,5.20E-80,7,,
57,0,0,0,20,1,0,TRUE,FALSE,11,10,0,0,-4927,4902,0,0,0,0,5,,
58,1,0,1,20,0.8,0.2,TRUE,FALSE,11,3,0,0,-1135,1110,0,0,3.69E-84,8.46E-79,5,,
59,0,0,0,20,1,0,TRUE,FALSE,10,4,4,0,-5893,5257,265000,0,0,0,5,,
60,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-7445,7420,0,0,0,0,6,,
61,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-3546,3521,0,0,0,0,5,,
62,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,5389,-6048,0,0,0,0,4,,
63,0,0,0,20,1,0,TRUE,FALSE,11,10,0,0,-2531,1879,0,0,0,0,6,,
64,0,0,0,20,1,0,TRUE,FALSE,11,3,0,0,-2029,2004,0,0,4.30E-180,3.41E-181,2,,
65,1,0,1,20,0.75,0.25,TRUE,FALSE,11,4,0,0,-683,658,0,0,6.98E-111,1.05E-111,8,,
66,0,1,0,20,0.7,0.3,FALSE,TRUE,0,10,0,0,-1500,1490,0,0,3.83E-141,3.83E-141,7,,
67,1,0,2,20,0.75,0.25,TRUE,FALSE,5,3,3,0,-920,892,216000,0,2.06E-29,1.33E-52,9,,
68,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-6289,5643,0,0,0,0,6,,
69,0,0,0,20,1,0,TRUE,FALSE,10,4,4,0,-8214,8194,248000,0,0,0,6,,
70,1,0,1,20,0.75,0.25,TRUE,FALSE,11,9,0,0,-618,593,0,0,6.72E-101,2.90E-121,8,,
71,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-4198,4173,0,0,0,0,6,,
72,0,0,0,20,0,1,FALSE,TRUE,6,10,0,0,3151,-3181,0,0,0,0,5,,
73,1,0,1,20,0.8,0.2,TRUE,FALSE,5,3,0,0,-1782,1733,0,0,1.81E-100,1.45E-97,4,,
74,0,0,0,20,0,1,FALSE,TRUE,6,10,0,0,8163,-8188,0,0,0,0,5,,
75,0,0,0,20,1,0,TRUE,FALSE,11,10,0,0,-1784,1107,0,0,0,0,6,,
76,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-2080,2055,0,0,0,0,4,,
77,0,0,0,20,1,0,TRUE,FALSE,10,4,4,0,-6091,5455,265000,0,0,0,5,,
78,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,2267,-2295,0,0,4.63E-132,7.28E-120,6,,
79,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-3520,3494,0,0,0,0,6,,
80,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-6492,6467,0,0,0,0,4,,
81,1,0,1,20,0.7,0.3,TRUE,FALSE,11,9,0,0,-501,476,0,0,2.29E-95,3.18E-84,8,,
82,0,0,0,20,0,1,FALSE,TRUE,6,4,0,0,2603,-2629,0,0,5.00E-271,5.00E-271,6,,
83,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-5876,5851,0,0,0,0,5,,
84,0,0,1,20,1,0,TRUE,FALSE,11,4,0,0,-9749,9721,0,0,8.76E-108,6.75E-103,6,,
85,0,0,1,20,1,0,TRUE,FALSE,11,4,0,0,-9935,9919,0,0,1.72E-72,7.72E-67,6,,
86,0,0,0,20,1,0,TRUE,FALSE,11,4,0,0,-3412,3387,0,0,0,0,4,,
87,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,4221,-4246,0,0,0,0,5,,
88,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,3560,-3585,0,0,0,0,6,,
89,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,5536,-6181,0,0,0,0,5,,
90,1,0,2,20,0.2,0.8,TRUE,FALSE,5,4,0,0,917,-947,0,0,1.10E-76,2.71E-82,10,,
91,1,0,1,20,0.35,0.65,TRUE,FALSE,11,9,0,0,1076,-1094,0,0,5.60E-89,4.93E-55,12,,
92,0,0,1,20,1,0,TRUE,FALSE,11,4,0,0,-9935,9919,0,0,1.72E-72,7.72E-67,6,,
93,0,0,0,20,0,1,FALSE,TRUE,6,10,0,0,6007,-6033,0,0,0,0,5,,
94,0,0,0,20,0,1,FALSE,TRUE,11,10,0,0,1574,-1599,0,0,3.09E-164,1.98E-103,12,,
95,0,0,1,20,0,1,FALSE,TRUE,11,10,0,0,2354,-3007,0,0,7.44E-117,4.95E-48,6,,
96,1,0,3,20,0.3,0.7,TRUE,FALSE,11,9,2,2,1173,-1212,50000,57000,5.28E-36,5.11E-08,10,,
97,1,0,1,20,0.55,0.45,TRUE,FALSE,11,3,0,1,22,-680,0,25000,3.18E-41,2.97E-33,7,,
98,0,0,0,20,0,1,FALSE,TRUE,6,10,0,0,6355,-6380,0,0,0,0,5,,
99,1,0,2,20,0.85,0.15,TRUE,FALSE,10,3,3,0,-320,292,216000,0,2.71E-25,3.83E-44,10,,
100,0,0,0,20,1,0,TRUE,FALSE,11,3,0,0,-2144,2119,0,0,1.21E-226,2.17E-228,2,,
,,,,,,,,,,,,,,,,,,,,,
,Passes P1,Passes P2,Collisions,Choices,Average Proportion Ahead P1,Average Proportion Ahead P2,Number Wins P1,Number Win P2,Average Progress P1 (radians),Average Progress P2 (radians),Out of Bounds P1,Out of Bounds P2,Average Progress Cost P1,Average Progress Cost P2,Average Bounds Cost P1,Average Bounds Cost P2,Average Proximity Cost P1,Average Proximity Cost P2,Average Adjustment Count P2,,
,31,2,47,20,0.621,0.379,73,27,9.71,6.57,33,17,-1255.44,1116.84,19940,10080,2.7138E-27,8.0893E-08,6.33,,0.3165
